variables,type,units,values,description
landbosse.site_facility_building_area_df,input,n/a,"   Size Min (MW)  Size Max (MW)  Building area (sq. ft.)
0              0            200                     3000
1            200            500                     5000
2            500            800                     7000
3            800           1000                     9000
4           1000           5000                    12000",site_facility_building_area DataFrame
landbosse.components,input,n/a,"           Component  Mass tonne  Lift height m  Surface area sq m  Coeff drag  ...  Cycle time installation hrs  Offload hook height m  Offload cycle time hrs  Multplier drag rotor  Multiplier tower drag
0  Nacelle GE 1.5SLE        50.0             90              33.00         0.8  ...                          1.5                      6                     0.5              1.000000                      0
1                Hub        15.4             90              11.30         1.1  ...                          1.0                      6                     0.5              0.000000                      0
2            Blade 1         5.2             90              33.44         0.1  ...                          1.0                      6                     0.5              0.666667                      0
3            Blade 2         5.2             90              33.44         0.1  ...                          1.0                      6                     0.5              0.666667                      0
4            Blade 3         5.2             90              33.44         0.1  ...                          1.0                      6                     0.5              0.666667                      0
5    Tower section 1        59.8             30              95.89         0.6  ...                          1.0                      6                     0.5              0.000000                      1
6    Tower section 2        39.3             60              96.25         0.6  ...                          1.0                      6                     0.5              0.000000                      1
7    Tower section 3        30.9             90              90.00         0.6  ...                          1.0                      6                     0.5              0.000000                      1

[8 rows x 13 columns]","Dataframe of components for tower, blade, nacelle"
landbosse.crane_specs,input,n/a,"   Equipment name    Crane name              Boom system  Crane capacity tonne  Speed of travel km per hr  ...  Hub height m Max capacity tonne Radius m  Hook Height m  Mobilization cost USD
0   Offload crane         LB 75                Hydraulic                    75                         40  ...          12.5                 38      5.4           12.5                   8040
1   Offload crane   Big LB 2580            Big Hydraulic                   500                         40  ...          48.0                500     11.0           48.0                 406100
2   Offload crane        LB 258                Hydraulic                   200                         40  ...          48.0                 63     11.0           48.0                  40610
3   Crawler crane          M999                     22EL                   275                          2  ...          57.0                 67     14.0           57.0                  68709
4   Crawler crane        LR1500                     SL3F                   500                          2  ...          80.0                102     16.0           94.0                 184398
5   Crawler crane        LR1500                     SL3F                   500                          2  ...          85.0                 95     16.0          100.0                 184398
6   Crawler crane        LR1500                     SL3F                   500                          2  ...          90.0                 87     16.0          106.0                 184398
7   Crawler crane        LR1500                     SL3F                   500                          2  ...         100.0                 77     18.0          112.0                 184398
8   Crawler crane        LR1500         SL4DFB + Derrick                   500                          2  ...          80.0                112     16.0           94.0                 184398
9   Crawler crane        LR1500         SL4DFB + Derrick                   500                          2  ...          90.0                105     16.0          100.0                 184398
10  Crawler crane        LR1500         SL4DFB + Derrick                   500                          2  ...         100.0                 90     16.0          112.0                 184398
11  Crawler crane        LR1500         SL4DFB + Derrick                   500                          2  ...         120.0                 74     18.0          130.0                 184398
12  Crawler crane        LR1500         SL4DFB + Derrick                   500                          2  ...         130.0                 60     20.0          142.0                 184398
13  Crawler crane      LR1600/2                    SL8F3                   600                          2  ...          80.0                137     18.0           93.0                 249177
14  Crawler crane      LR1600/2                    SL8F3                   600                          2  ...         100.0                118     18.0          114.0                 249177
15  Crawler crane      LR1600/2                     SL3F                   600                          2  ...         105.0                 93     18.0          117.0                 249177
16  Crawler crane      LR1600/2    HSL4DF + Derrick boom                   600                          2  ...         120.0                 87     20.0          135.0                 249177
17  Crawler crane      LR1600/2       SL13DFB + Derrick                    600                          2  ...         135.0                 96     20.0          147.0                 249177
18  Crawler crane      LR1600/2       SL13DFB + Derrick                    600                          2  ...         140.0                 87     24.0          152.0                 249177
19  Crawler crane      LR1600/2      SL13DFB2 + Derrick                    600                          2  ...         150.0                 71     24.0          164.0                 249177
20  Crawler crane      LR1750/2                   HSL8HS                   750                          2  ...          80.0                111     18.0          101.0                 360193
21  Crawler crane      LR1500/2                   HSL8HS                   750                          2  ...          95.0                110     18.0          109.0                 360193
22  Crawler crane      LR1750/2                  HSL7DHS                   750                          2  ...         120.0                108     18.0          136.0                 360193
23  Crawler crane      LR1750/2                  HSL7DHS                   750                          2  ...         130.0                 98     18.0          147.0                 360193
24  Crawler crane      LR1500/2                  HSL7DHS                   750                          2  ...         140.0                 89     22.0          152.0                 360193
25  Crawler crane      LR1750/2  SX3D4F2B Derrick (walk)                   750                          2  ...         140.0                141     28.0          154.0                 360193
26  Crawler crane      LR1750/2  SX3D4F2B Derrick (walk)                   750                          2  ...         150.0                118     28.0          165.0                 360193
27  Crawler crane       LR11000                     SL3F                  1000                          1  ...         100.0                179     18.0          114.0                 579224
28  Crawler crane       LR11000                     SL3F                  1000                          1  ...         110.0                152     18.0          120.0                1000000
29  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         120.0                179     20.0          132.0                1000000
30  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         140.0                133     18.0          136.0                1000000
31  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         150.0                154     18.0          147.0                1000000
32  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         155.0                140     22.0          152.0                1000000
33  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         160.0                120     26.0          174.0                1000000
34  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         180.0                 73     22.0          192.0                1000000
35  Crawler crane       LR11000                   SL2DFB                  1000                          1  ...         185.0                 54     34.0          198.0                1000000
36  Crawler crane       LR11000            PDW3B Derrick                  1000                          1  ...         130.0                227     28.0          147.0                1000000
37  Crawler crane       LR11000           PDW3B2 Derrick                  1000                          1  ...         165.0                142     26.0          174.0                1000000
38  Crawler crane  Big LR110000       Big PDW3B2 Derrick                100000                          1  ...         250.0               1000     50.0          300.0                1400000

[39 rows x 16 columns]",Dataframe of specifications of cranes
landbosse.weather_window,input,n/a,"                      Date UTC  Temp C  Pressure atm  Direction deg  Speed m per s                      Date  Month  Day  Hour Time window  Season
0    2012-01-01 12:00:00+00:00   2.444      0.952053          185.0          8.681 2012-01-01 05:00:00-07:00      1    1     5        long  winter
1    2012-01-01 13:00:00+00:00   1.655      0.952275          270.0          7.234 2012-01-01 06:00:00-07:00      1    1     6        long  winter
2    2012-01-01 14:00:00+00:00   2.512      0.952485          322.0         12.898 2012-01-01 07:00:00-07:00      1    1     7        long  winter
3    2012-01-01 15:00:00+00:00   2.589      0.953325          321.0         14.795 2012-01-01 08:00:00-07:00      1    1     8      normal  winter
4    2012-01-01 16:00:00+00:00   1.534      0.954406          323.0         15.076 2012-01-01 09:00:00-07:00      1    1     9      normal  winter
...                        ...     ...           ...            ...            ...                       ...    ...  ...   ...         ...     ...
8779 2013-01-01 07:00:00+00:00  -8.496      0.970703          346.0          6.550 2013-01-01 00:00:00-07:00      1    1     0        long  winter
8780 2013-01-01 08:00:00+00:00  -8.584      0.970879          348.0          6.387 2013-01-01 01:00:00-07:00      1    1     1        long  winter
8781 2013-01-01 09:00:00+00:00  -9.121      0.970915          351.0          6.617 2013-01-01 02:00:00-07:00      1    1     2        long  winter
8782 2013-01-01 10:00:00+00:00  -9.941      0.970998          351.0          7.304 2013-01-01 03:00:00-07:00      1    1     3        long  winter
8783 2013-01-01 11:00:00+00:00 -10.568      0.971338          351.0          7.864 2013-01-01 04:00:00-07:00      1    1     4        long  winter

[8784 rows x 11 columns]",Dataframe of wind toolkit data
landbosse.crew,input,n/a,"   Crew type ID   Operation                  Crew name         Labor type ID  Number of workers
0            M0  Management  Management - project size       Project manager                  1
1            M0  Management  Management - project size          Site manager                  1
2            M0  Management  Management - project size  Construction manager                  1
3            M0  Management  Management - project size      Project engineer                  1
4            M0  Management  Management - project size  Safety or qc manager                  1
..          ...         ...                        ...                   ...                ...
74           C4        Base                  Top 1000t        Rigger foreman                  1
75           C0        Base          Offload can tower        Crane operator                  2
76           C0        Base          Offload can tower                 Oiler                  2
77           C0        Base          Offload can tower           Iron worker                  3
78           C0        Base          Offload can tower        Rigger foreman                  1

[79 rows x 5 columns]",Dataframe of crew configurations
landbosse.crew_price,input,n/a,"           Labor type ID  Hourly rate USD per hour  Per diem USD per day                                   Notes/References
0         Crane operator                 81.910500                   149  2017 National Construction Estimator:  Page 30...
1                  Oiler                 61.625000                   149  (35% burden) https://www.ziprecruiter.com/Sala...
2                 Rigger                 85.840000                   149  2017 National Construction Estimator:  Page 30...
3           Truck driver                 66.410000                   149  2017 National Construction Estimator:  Page 30...
4            Iron worker                 94.554500                   149  2017 National Construction Estimator:  Page 30...
5        Project manager                119.000000                   149  (50% burden) https://www.salary.com/tools/sala...
6           Site manager                112.200000                   149  (50% burden) https://www.salary.com/tools/sala...
7   Construction manager                112.200000                   149  (50% burden) https://www.salary.com/tools/sala...
8       Project engineer                 93.500000                   149  (50% burden) https://www.salary.com/tools/sala...
9   Safety or qc manager                106.117647                   149  (70% burden) https://www.salary.com/tools/sala...
10     Logistics manager                 99.900000                   149  (50 % burden) https://www.salary.com/research/...
11        Rigger foreman                 85.840000                   149  2017 National Construction Estimator:  Page 30...
12                Rigger                 85.840000                   149  2017 National Construction Estimator:  Page 30...
13              Operator                 81.910500                   149  2017 National Construction Estimator:  Page 30...
14                 Oiler                 71.145000                   149  (35% burden) https://www.ziprecruiter.com/Sala...
15           Electrician                 85.840000                   149  2017 National Construction Estimator:  Page 30...
16             Tool room                 85.840000                   149  2017 National Construction Estimator:  Page 30...
17            QC/QA tech                 87.125000                   149  (50% burden for QC/QC Manager) https://www.zip...
18          Office admin                 44.562500                   149  (35% burden) https://www.salary.com/tools/sala...
19               RSMeans                       NaN                   149                                                NaN",Dataframe of costs per hour for each type of worker.
landbosse.equip,input,n/a,"   Equipment ID Operation Equipment name  Crane capacity tonne  Number of equipment
0            E1      Base  Crawler crane                   500                    1
1            E1      Base    Truck crane                    50                    1
2            E1       Top  Crawler crane                   500                    1
3            E1       Top    Truck crane                    50                    2
4            E2       Top  Crawler crane                   600                    1
5            E2       Top    Truck crane                    50                    2
6            E2       Top             RT                   100                    2
7            E3       Top  Crawler crane                   750                    1
8            E3       Top             RT                   100                    2
9            E4       Top  Crawler crane                  1000                    1
10           E4       Top             RT                   100                    2
11          ST1       Top   Mobile crane                   200                    1
12          ST1       Top             RT                   100                    2
13          OL1   Offload  Offload crane                    75                    2
14          OL2   Offload  Offload crane                   200                    2
15           B1      Base  Crawler crane                   275                    1
16           B1      Base    Truck crane                    50                    1
17           E2      Base  Crawler crane                   600                    1
18           E2      Base    Truck crane                    50                    2
19           E2      Base             RT                   100                    2
20           E3      Base  Crawler crane                   750                    1
21           E3      Base             RT                   100                    2
22           E4      Base  Crawler crane                  1000                    1
23           E4      Base             RT                   100                    2
24          ST1      Base   Mobile crane                   200                    1
25          ST1      Base             RT                   100                    2
26          OL2      Base  Offload crane                   200                    2",Collections of equipment to perform erection operations.
landbosse.equip_price,input,n/a,"   Equipment name  Crane capacity tonne  Equipment price USD per hour  Cost USD per breakdown  Fuel consumption gal per day
0    Mobile crane                    75                            35                     NaN                          44.0
1    Mobile crane                   200                           149                     NaN                          64.0
2   Crawler crane                   275                           217                 37674.0                          76.0
3   Crawler crane                   250                           194                 30534.0                          72.0
4   Crawler crane                   400                           330                 73375.0                          97.0
5   Crawler crane                   500                           420                101936.0                         113.0
6   Crawler crane                   600                           511                130497.0                         130.0
7   Crawler crane                   750                           647                173339.0                         154.0
8   Crawler crane                  1000                           873                244741.0                         195.0
9   Crawler crane                  1350                          1190                344705.0                         252.0
10    Truck crane                    50                            13                     NaN                           NaN
11             RT                   100                            58                     NaN                           NaN
12  Offload crane                    75                            35                     NaN                          44.0
13  Offload crane                   200                           149                     NaN                          64.0",Prices for various type of equipment.
landbosse.rsmeans,input,n/a,"                                    Operation ID      Type of cost  ...                                   Additional Notes                                             Source
0                             Concrete placement  Equipment rental  ...                                                NaN  Source 2017 National Construction Estimator:  ...
1                             Rebar installation  Equipment rental  ...                                                NaN  Source: 2017 National Construction Estimator: ...
2                                         Survey  Equipment rental  ...                                                NaN                                                NaN
3                                 Clear and grub  Equipment rental  ...                                                NaN                                                NaN
4              Topsoil stripping and stockpiling  Equipment rental  ...                   460 HP D-9 dozer with “U”- blade   2017 National Construction Estimator:  Page 599 
5                Stormwater pollution prevention  Equipment rental  ...                                                NaN                                                NaN
6                                       Culverts  Equipment rental  ...                                                NaN                                                NaN
7   Compaction of soil (subgrade and crane path)  Equipment rental  ...                                                NaN  http://www.get-a-quote.net/QuoteEngine/costboo...
8          Mass material movement (cut and fill)  Equipment rental  ...                                                NaN                                                NaN
9                    Placing road base (hauling)  Equipment rental  ...                                                NaN                                                NaN
10                       Rough grading road base  Equipment rental  ...  Site preparation grading based on using one cr...  http://www.get-a-quote.net/QuoteEngine/costboo...
11                          Compacting road base  Equipment rental  ...                                                NaN  http://www.get-a-quote.net/QuoteEngine/costboo...
12                                 Final grading  Equipment rental  ...                                                NaN                                                NaN
13                              Road maintanance  Equipment rental  ...                                                NaN                                                NaN
14                   Decompaction of crane paths  Equipment rental  ...                                                NaN                                                NaN
15                      Reseeding, planting, etc  Equipment rental  ...                                                NaN                                                NaN
16                            Concrete placement             Labor  ...  Ready-mix concrete for the pour strip includin...  Source: 2017 National Construction Estimator: ...
17                            Rebar installation             Labor  ...  Steel reinforcing bars (rebar), ASTM A615 Grad...  Source: 2017 National Construction Estimator: ...
18                                        Survey             Labor  ...                                                NaN                                                NaN
19                                Clear and grub             Labor  ...                                                NaN                                                NaN
20             Topsoil stripping and stockpiling             Labor  ...                                   Tractor operator   2017 National Construction Estimator:  Page 599 
21               Stormwater pollution prevention             Labor  ...                                                NaN                                                NaN
22                                      Culverts             Labor  ...                                                NaN                                                NaN
23  Compaction of soil (subgrade and crane path)             Labor  ...        Laborer, tractor operator, and truck driver  http://www.get-a-quote.net/QuoteEngine/costboo...
24         Mass material movement (cut and fill)             Labor  ...                                                NaN                                                NaN
25                   Placing road base (hauling)             Labor  ...                                   Tractor operator  http://www.get-a-quote.net/QuoteEngine/costboo...
26                       Rough grading road base             Labor  ...                       Laborer and tractor operator  http://www.get-a-quote.net/QuoteEngine/costboo...
27                          Compacting road base             Labor  ...        Laborer, tractor operator, and truck driver  http://www.get-a-quote.net/QuoteEngine/costboo...
28                                 Final grading             Labor  ...                                                NaN                                                NaN
29                              Road maintanance             Labor  ...                                                NaN                                                NaN
30                   Decompaction of crane paths             Labor  ...                                                NaN                                                NaN
31                      Reseeding, planting, etc             Labor  ...                                                NaN                                                NaN
32                                    Excavation  Equipment rental  ...                                                NaN  Source: 2017 National Construction Estimator: ...
33                                    Excavation             Labor  ...                                                NaN  Source: 2017 National Construction Estimator: ...
34                                      Backfill  Equipment rental  ...                                                NaN  Source: 2017 National Construction Estimator: ...
35                                      Backfill             Labor  ...                                   1 truck operator  Source: 2017 National Construction Estimator: ...
36                                    Collection             Labor  ...                                                NaN  Source: 2017 National Construction Estimator: ...
37                                    Collection         Equipment  ...                                                NaN  Source: 2017 National Construction Estimator: ...
38                                    Collection             Labor  ...                                                NaN  Source: 2017 National Construction Estimator: ...
39                                    Collection         Equipment  ...                                                NaN  Source: 2017 National Construction Estimator: ...
40                                    Collection             Labor  ...                                                NaN  Source: 2017 National Construction Estimator: ...
41                                    Collection         Equipment  ...                                                NaN  Source: 2017 National Construction Estimator: ...

[42 rows x 12 columns]",RSMeans price data
landbosse.cable_specs,input,n/a,"  Array Cable  Conductor Size (mm2)  Current Capacity (A)  Rated Voltage (V)  AC Resistance (Ohms/km)  Inductance (mH/km)  Capacitance (nF/km)  Cost (USD/LF)                                              Notes
0     AWG 1/0                   120                   300                 36                   0.2530               0.398                0.179              6  2017 National Construction Estimator:  Page 55...
1     AWG 4/0                   240                   440                 36                   0.1250               0.359                0.223              9  2017 National Construction Estimator:  Page 55...
2     MCM 500                   500                   640                 36                   0.0605               0.317                0.293             13  2017 National Construction Estimator:  Page 55...
3     MCM1000                   800                   830                 36                   0.0367               0.291                0.375             16  (curve fitted) 2017 National Construction Esti...
4     MCM1250                  1000                   935                 36                   0.0291               0.284                0.411             17  (curve fitted) 2017 National Construction Esti...",cable specs for collection system
landbosse.material_price,input,n/a,"                      Material type ID  Material price USD per unit                           Unit                                              Notes
0  unique identifier for the material   price of material per unit   unit of measure used for cost                                                NaN
1                    Concrete 3000 psi                          117                     cubic yard                    http://gsiconcrete.com/pricing/
2                    Concrete 5000 psi                          140                     cubic yard                    http://gsiconcrete.com/pricing/
3                    Concrete 8000 psi                          130                     cubic yard          Curve fit http://gsiconcrete.com/pricing/
4                        Steel - rebar                         1120                    ton (short)  https://www.steelsupplylp.com/sku/102775?gclid...
5   Road base - 3/4 inch crushed stone                           15               Loose cubic yard     https://homeguide.com/costs/gravel-prices#yard
6                       Excavated dirt                            0                     cubic yard                                                NaN
7                             Backfill                            0                     cubic yard                                                NaN",Prices of materials for foundations and roads
