variables,type,units,values,description
materials.component_id,output,n/a,[ 0. -1.  5.  4.  3.  2.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
drivese.bear1.D_bearing,input,m,[0.],
drivese.bear1.D_shaft,input,m,[0.577],
drivese.bear1.bearing_type,input,n/a,CARB,
drivese.bear2.D_bearing,input,m,[0.],
drivese.bear2.D_shaft,input,m,[0.577],
drivese.bear2.bearing_type,input,n/a,SRB,
drivese.tilt,input,deg,[4.],
drivese.D_top,input,m,[5.53032592],
drivese.bedplate_flange_width,input,m,[1.],
drivese.bedplate_flange_thickness,input,m,[0.05],
drivese.bedplate_web_thickness,input,m,[0.05],
drivese.stator_deflection_allowable,input,m,[0.0001],
drivese.stator_angle_allowable,input,rad,[0.001],
drivese.upwind,input,n/a,True,
drivese.brake_mass_user,input,kg,[0.],
drivese.s_rotor,input,m,[0.],
drivese.gear_ratio,input,,[96.76],
drivese.damping_ratio,input,,[0.005],
drivese.machine_rating,input,kW,[5000.],
drivese.converter_mass_user,input,kg,[0.],
drivese.transformer_mass_user,input,kg,[0.],
drivese.gearbox_mass_user,input,kg,[0.],
drivese.gearbox_torque_density,input,N*m/kg,[200.],
drivese.gearbox_radius_user,input,m,[0.],
drivese.gearbox_length_user,input,m,[0.],
drivese.gear_configuration,input,n/a,eep,
drivese.planet_numbers,input,n/a,"[3, 3, 1]",
drivese.L_generator,input,m,[2.],
drivese.generator_mass_user,input,kg,[0.],
drivese.generator_radius_user,input,m,[0.],
drivese.generator_efficiency_user,input,,"[[0.         0.95      ]
 [0.05263158 0.95      ]
 [0.10526316 0.95      ]
 [0.15789474 0.95      ]
 [0.21052632 0.95      ]
 [0.26315789 0.95      ]
 [0.31578947 0.95      ]
 [0.36842105 0.95      ]
 [0.42105263 0.95      ]
 [0.47368421 0.95      ]
 [0.52631579 0.95      ]
 [0.57894737 0.95      ]
 [0.63157895 0.95      ]
 [0.68421053 0.95      ]
 [0.73684211 0.95      ]
 [0.78947368 0.95      ]
 [0.84210526 0.95      ]
 [0.89473684 0.95      ]
 [0.94736842 0.95      ]
 [1.         0.95      ]]",
drivese.hss_diameter,input,m,[0.288 0.288],
drivese.hss_wall_thickness,input,m,[0.144 0.144],
drivese.flange_t2shell_t,input,,[4.],
drivese.flange_OD2hub_D,input,,[0.5],
drivese.flange_ID2flange_OD,input,,[0.8],
drivese.hub_stress_concentration,input,,[2.5],
drivese.hub_diameter,input,m,[6.],
drivese.hub_in2out_circ,input,,[1.2],
drivese.hub_shell.n_blades,input,n/a,3,
drivese.stop_time,input,s,[5.],
drivese.pitch_system_scaling_factor,input,,[0.54],
drivese.n_blades,input,n/a,3,
drivese.clearance_hub_spinner,input,m,[0.75],
drivese.spin_hole_incr,input,,[1.2],
drivese.n_front_brackets,input,n/a,3,
drivese.n_rear_brackets,input,n/a,3,
drivese.L_12,input,m,[0.368],
drivese.L_h1,input,m,[1.912],
drivese.overhang,input,m,[7.],
drivese.drive_height,input,m,[3.],
drivese.lss_diameter,input,m,[0.577 0.577],
drivese.lss_wall_thickness,input,m,[0.288 0.288],
drivese.L_hss,input,m,[1.5],
drivese.shaft_deflection_allowable,input,m,[0.0001],
drivese.shaft_angle_allowable,input,rad,[0.001],
drivese.E_mat,input,Pa,"[[3.44000e+09 3.44000e+09 3.44000e+09]
 [4.56000e+06 4.56000e+06 4.56000e+06]
 [4.37000e+10 1.65000e+10 1.54500e+10]
 [1.57599e+11 9.10000e+09 9.10000e+09]
 [1.10231e+10 1.10231e+10 1.60477e+10]
 [2.82114e+10 1.62388e+10 1.58355e+10]
 [1.42500e+08 1.42500e+08 1.42500e+08]
 [1.00000e+06 1.00000e+06 1.00000e+06]
 [2.00000e+11 2.00000e+11 2.00000e+11]
 [2.10000e+11 2.10000e+11 2.10000e+11]]",
drivese.G_mat,input,Pa,"[[1.32300e+09 1.32300e+09 1.32300e+09]
 [1.45000e+06 1.45000e+06 1.45000e+06]
 [3.26500e+09 3.49500e+09 3.48000e+09]
 [4.13100e+09 4.13100e+09 2.68900e+09]
 [1.32314e+10 3.48748e+09 3.48748e+09]
 [8.24822e+09 3.49124e+09 3.49124e+09]
 [5.40000e+10 5.40000e+10 5.40000e+10]
 [3.12500e+05 3.12500e+05 3.12500e+05]
 [7.93000e+10 7.93000e+10 7.93000e+10]
 [8.39000e+10 8.39000e+10 8.39000e+10]]",
drivese.Xt_mat,input,Pa,"[[0.0000e+00 0.0000e+00 0.0000e+00]
 [6.1510e+07 6.1510e+07 6.1510e+07]
 [6.4023e+08 3.8100e+07 0.0000e+00]
 [1.2852e+09 3.8100e+07 0.0000e+00]
 [4.6210e+07 4.6210e+07 4.6210e+07]
 [4.3563e+08 7.6440e+07 0.0000e+00]
 [2.0830e+06 2.0830e+06 2.0830e+06]
 [0.0000e+00 0.0000e+00 0.0000e+00]
 [4.5000e+08 4.5000e+08 4.5000e+08]
 [1.7900e+09 1.7900e+09 1.7900e+09]]",
drivese.Xy_mat,input,Pa,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 3.45e+08 1.65e+09]",
drivese.wohler_exp_mat,input,,[ 1.   1.  10.  16.1 10.  10.   1.   1.   3.   1. ],
drivese.wohler_A_mat,input,,"[0.00000000e+00 6.53600000e+07 6.40230000e+08 1.28520000e+09
 7.06900000e+07 4.35630000e+08 2.08300000e+06 0.00000000e+00
 3.55346484e+10 1.79000000e+09]",
drivese.rho_mat,input,kg/m**3,[1235. 1100. 1940. 1600. 1940. 1940.  130. 1150. 7800. 7800.],
drivese.unit_cost_mat,input,USD/kg,[ 7.23  7.23  1.87 20.08  3.    2.86 13.    3.63  0.7   2.  ],
drivese.material_names,input,n/a,"['Gelcoat', 'Adhesive', 'glass_uni', 'carbon_uni_industry_baseline', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'steel', 'joint_insert']",
drivese.lss_material,input,n/a,steel,
drivese.hss_material,input,n/a,steel,
drivese.hub_material,input,n/a,steel,
drivese.spinner_material,input,n/a,glass_biax,
drivese.bedplate_material,input,n/a,steel,
drivese.hvac_mass_coeff,input,kg/kW/m,[0.08],
drivese.nose_mass,input,kg,[0.],
drivese.nose_cm,input,m,[0.],
drivese.nose_I,input,kg*m**2,[0. 0. 0.],
drivese.x_bedplate,input,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
drivese.uptower,input,n/a,True,
drivese.minimum_rpm,input,rpm,[0.],
rotorse.rc_in.layer_web,input,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 2. 2. 2.],"1D array of the web id the layer is associated to. If the layer is on the outer profile, this entry can simply stay equal to 0."
rotorse.rc_in.rho,input,kg/m**3,[1235. 1100. 1940. 1600. 1940. 1940.  130. 1150. 7800. 7800.],"1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.rc_in.unit_cost,input,USD/kg,[ 7.23  7.23  1.87 20.08  3.    2.86 13.    3.63  0.7   2.  ],1D array of the unit costs of the materials.
rotorse.rc_in.waste,input,,[0.25 0.25 0.05 0.05 0.15 0.15 0.2  0.   0.   0.  ],1D array of the non-dimensional waste fraction of the materials.
rotorse.rc_in.rho_fiber,input,kg/m**3,[   0.     0.  2535.5 1800.  2535.5 2535.5    0.     0.     0.     0. ],1D array of the density of the fibers of the materials.
rotorse.rc_in.roll_mass,input,kg,"[  0.       0.       0.       0.     181.4368 181.4368   0.       0.
   0.       0.    ]",1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
rotorse.rc_in.flange_adhesive_squeezed,input,,[0.2],Extra width of the adhesive once squeezed
rotorse.rc_in.flange_thick,input,m,[0.008],Average thickness of adhesive
rotorse.rc_in.flange_width,input,m,[0.05],Average width of adhesive lines
rotorse.rc_in.t_bolt_unit_cost,input,USD,[25.],Cost of one t-bolt
rotorse.rc_in.t_bolt_unit_mass,input,kg,[2.5],Mass of one t-bolt
rotorse.rc_in.t_bolt_spacing,input,m,[0.15],Spacing of t-bolts along blade root circumference
rotorse.rc_in.barrel_nut_unit_cost,input,USD,[12.],Cost of one barrel nut
rotorse.rc_in.barrel_nut_unit_mass,input,kg,[1.9],Mass of one barrel nut
rotorse.rc_in.LPS_unit_mass,input,kg/m,[1.],Unit mass of the lightining protection system. Linear scaling based on the weight of 150 lbs for the 61.5 m NREL 5MW blade
rotorse.rc_in.LPS_unit_cost,input,USD/m,[40.],Unit cost of the lightining protection system. Linear scaling based on the cost of 2500$ for the 61.5 m NREL 5MW blade
rotorse.rc_in.root_preform_length,input,,[0.01],Percentage of blade length starting from blade root that is preformed and later inserted into the mold
rotorse.rc_in.definition_layer,input,n/a,"[ 9.  9.  2.  2.  2.  2.  5.  7.  8.  6.  6.  6.  6.  9. 10. 10. 10. 10.
 10. 10.]","1D array of flags identifying how layers are specified in the yaml. 1) all around (skin, paint, ) 2) offset+rotation twist+width (spar caps) 3) offset+user defined rotation+width 4) midpoint TE+width (TE reinf) 5) midpoint LE+width (LE reinf) 6) layer position fixed to other layer (core fillers) 7) start and width 8) end and width 9) start and end nd 10) web layer"
rotorse.rc_in.mat_name,input,n/a,"['Gelcoat', 'Adhesive', 'glass_uni', 'carbon_uni_industry_baseline', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'steel', 'joint_insert']",1D array of names of materials.
rotorse.rc_in.orth,input,n/a,[0. 0. 1. 1. 1. 1. 0. 0. 0. 0.],1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
rotorse.rc_in.component_id,input,n/a,[ 0. -1.  5.  4.  3.  2.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
rotorse.rc_out.layer_web,input,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 2. 2. 2.],"1D array of the web id the layer is associated to. If the layer is on the outer profile, this entry can simply stay equal to 0."
rotorse.rc_out.rho,input,kg/m**3,[1235. 1100. 1940. 1600. 1940. 1940.  130. 1150. 7800. 7800.],"1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.rc_out.unit_cost,input,USD/kg,[ 7.23  7.23  1.87 20.08  3.    2.86 13.    3.63  0.7   2.  ],1D array of the unit costs of the materials.
rotorse.rc_out.waste,input,,[0.25 0.25 0.05 0.05 0.15 0.15 0.2  0.   0.   0.  ],1D array of the non-dimensional waste fraction of the materials.
rotorse.rc_out.rho_fiber,input,kg/m**3,[   0.     0.  2535.5 1800.  2535.5 2535.5    0.     0.     0.     0. ],1D array of the density of the fibers of the materials.
rotorse.rc_out.roll_mass,input,kg,"[  0.       0.       0.       0.     181.4368 181.4368   0.       0.
   0.       0.    ]",1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
rotorse.rc_out.flange_adhesive_squeezed,input,,[0.2],Extra width of the adhesive once squeezed
rotorse.rc_out.flange_thick,input,m,[0.008],Average thickness of adhesive
rotorse.rc_out.flange_width,input,m,[0.05],Average width of adhesive lines
rotorse.rc_out.t_bolt_unit_cost,input,USD,[25.],Cost of one t-bolt
rotorse.rc_out.t_bolt_unit_mass,input,kg,[2.5],Mass of one t-bolt
rotorse.rc_out.t_bolt_spacing,input,m,[0.15],Spacing of t-bolts along blade root circumference
rotorse.rc_out.barrel_nut_unit_cost,input,USD,[12.],Cost of one barrel nut
rotorse.rc_out.barrel_nut_unit_mass,input,kg,[1.9],Mass of one barrel nut
rotorse.rc_out.LPS_unit_mass,input,kg/m,[1.],Unit mass of the lightining protection system. Linear scaling based on the weight of 150 lbs for the 61.5 m NREL 5MW blade
rotorse.rc_out.LPS_unit_cost,input,USD/m,[40.],Unit cost of the lightining protection system. Linear scaling based on the cost of 2500$ for the 61.5 m NREL 5MW blade
rotorse.rc_out.root_preform_length,input,,[0.01],Percentage of blade length starting from blade root that is preformed and later inserted into the mold
rotorse.rc_out.definition_layer,input,n/a,"[ 9.  9.  2.  2.  2.  2.  5.  7.  8.  6.  6.  6.  6.  9. 10. 10. 10. 10.
 10. 10.]","1D array of flags identifying how layers are specified in the yaml. 1) all around (skin, paint, ) 2) offset+rotation twist+width (spar caps) 3) offset+user defined rotation+width 4) midpoint TE+width (TE reinf) 5) midpoint LE+width (LE reinf) 6) layer position fixed to other layer (core fillers) 7) start and width 8) end and width 9) start and end nd 10) web layer"
rotorse.rc_out.mat_name,input,n/a,"['Gelcoat', 'Adhesive', 'glass_uni', 'carbon_uni_industry_baseline', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'steel', 'joint_insert']",1D array of names of materials.
rotorse.rc_out.orth,input,n/a,[0. 0. 1. 1. 1. 1. 0. 0. 0. 0.],1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
rotorse.rc_out.component_id,input,n/a,[ 0. -1.  5.  4.  3.  2.  1. -1. -1. -1.],"1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
rotorse.rp.aep.lossFactor,input,,[1.],"multiplicative factor for availability and other losses (soiling, array, etc.)"
rotorse.rp.cdf.k,input,,[2.],shape or form factor
rotorse.rp.gust.turbulence_class,input,n/a,A,IEC turbulence class
rotorse.rp.v_min,input,m/s,[4.],cut-in wind speed
rotorse.rp.v_max,input,m/s,[25.],cut-out wind speed
rotorse.rp.rated_power,input,W,[5000000.],electrical rated power
rotorse.rp.omega_min,input,rpm,[0.],minimum allowed rotor rotation speed
rotorse.rp.omega_max,input,rpm,[19.09859317],maximum allowed rotor rotation speed
rotorse.rp.control_maxTS,input,m/s,[85.],maximum allowed blade tip speed
rotorse.rp.powercurve.gearbox_efficiency,input,,[0.95],
rotorse.rp.drivetrainType,input,n/a,constant_eff,
rotorse.rs.aero_gust.azimuth_load,input,deg,[0.],
rotorse.rs.aero_hub_loads.nSector,input,n/a,4,
rotorse.rs.bjs.load_factor,input,,[1.35],input load multiplier. 1.35 recommended for DLC6.1. [float]
rotorse.rs.bjs.nprf,input,,[1.2],bolt proof safety factor. [float]
rotorse.rs.bjs.ny,input,,[1.2],bolt yield safety factor. [float]
rotorse.rs.bjs.ns,input,,[1.2],bolt shear safety factor. [float]
rotorse.rs.bjs.n0,input,,[1.2],bolt separation safety factor. [float]
rotorse.rs.bjs.nf,input,,[1.2],bolt fatigue safety factor. [float]
rotorse.rs.bjs.Sp_bolt,input,Pa,[8.3e+08],bolt proof strength. [float]
rotorse.rs.bjs.Sy_bolt,input,Pa,[9.4e+08],bolt yield strength. [float]
rotorse.rs.bjs.Su_bolt,input,Pa,[1.04e+09],bolt ultimate strength. [float]
rotorse.rs.bjs.Se_bolt,input,Pa,[1.62e+08],bolt endurance strength. [float]
rotorse.rs.bjs.E_bolt,input,Pa,[2.e+11],bolt elastic modulus. [float]
rotorse.rs.bjs.d_bolt,input,m,[0.048],bolt diameter. [float]
rotorse.rs.bjs.L_bolt,input,m,[0.5],bolt length. [float]
rotorse.rs.bjs.At,input,m**2,[0.00147],bolt thread area [float]
rotorse.rs.bjs.m_bolt,input,kg,[8.03],bolt+washer mass. [float]
rotorse.rs.bjs.rho_mat,input,kg/m**3,[1235. 1100. 1940. 1600. 1940. 1940.  130. 1150. 7800. 7800.],list of material densities. [(n_mat) 1D array of str]
rotorse.rs.bjs.Xt_mat,input,Pa,"[[0.0000e+00 0.0000e+00 0.0000e+00]
 [6.1510e+07 6.1510e+07 6.1510e+07]
 [6.4023e+08 3.8100e+07 0.0000e+00]
 [1.2852e+09 3.8100e+07 0.0000e+00]
 [4.6210e+07 4.6210e+07 4.6210e+07]
 [4.3563e+08 7.6440e+07 0.0000e+00]
 [2.0830e+06 2.0830e+06 2.0830e+06]
 [0.0000e+00 0.0000e+00 0.0000e+00]
 [4.5000e+08 4.5000e+08 4.5000e+08]
 [1.7900e+09 1.7900e+09 1.7900e+09]]",list of material tensile strengths. [(n_mat x 3) 2D array of float]
rotorse.rs.bjs.Xy_mat,input,Pa,"[0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 3.45e+08 1.65e+09]",list of material yield strengths. [(n_mat x 3) 1D array of float]
rotorse.rs.bjs.E_mat,input,Pa,"[[3.44000e+09 3.44000e+09 3.44000e+09]
 [4.56000e+06 4.56000e+06 4.56000e+06]
 [4.37000e+10 1.65000e+10 1.54500e+10]
 [1.57599e+11 9.10000e+09 9.10000e+09]
 [1.10231e+10 1.10231e+10 1.60477e+10]
 [2.82114e+10 1.62388e+10 1.58355e+10]
 [1.42500e+08 1.42500e+08 1.42500e+08]
 [1.00000e+06 1.00000e+06 1.00000e+06]
 [2.00000e+11 2.00000e+11 2.00000e+11]
 [2.10000e+11 2.10000e+11 2.10000e+11]]",list of material elastic moduli. [(n_mat x 3) list of float]
rotorse.rs.bjs.S_mat,input,Pa,"[[0.0000e+00 0.0000e+00 0.0000e+00]
 [3.6610e+07 3.6610e+07 3.6610e+07]
 [3.0170e+07 1.8970e+07 6.2100e+06]
 [3.0170e+07 1.8970e+07 6.2100e+06]
 [1.2446e+08 1.8970e+07 6.2100e+06]
 [8.5060e+07 1.8970e+07 6.2100e+06]
 [1.2500e+06 1.2500e+06 1.2500e+06]
 [0.0000e+00 0.0000e+00 0.0000e+00]
 [0.0000e+00 0.0000e+00 0.0000e+00]
 [0.0000e+00 0.0000e+00 0.0000e+00]]",
rotorse.rs.bjs.unit_cost,input,USD/kg,[ 7.23  7.23  1.87 20.08  3.    2.86 13.    3.63  0.7   2.  ],1D array of the unit costs of the materials.
rotorse.rs.bjs.Se_insert,input,Pa,[3.16e+08],insert material endurance limit. [float]
rotorse.rs.bjs.mu_joint,input,,[0.5],steel insert friction factor. [float]
rotorse.rs.bjs.joint_position,input,,[0.7],nondimensionalized joint position along blade
rotorse.rs.bjs.bolt_spacing_dia,input,,[3.],joint bolt spacing along sparcap in y. [int]
rotorse.rs.bjs.ply_drop_slope,input,,[0.125],required ply drop slope. [float]
rotorse.rs.bjs.t_adhesive,input,m,[0.005],insert-sparcap adhesive thickness. [float]
rotorse.rs.bjs.t_max,input,,[0.25],maximum spar cap thickness per spar cap height. [float]
rotorse.rs.bjs.a,input,,[0.1965],
rotorse.rs.bjs.b,input,,[0.],
rotorse.rs.bjs.c,input,,[0.6448],
rotorse.rs.bjs.itermax,input,,[20.],max # calculation iterations. [int]
rotorse.rs.bjs.discrete,input,,[0.],whether discrete calculation is allowed. Set to False if in optimization loop. [bool]
rotorse.rs.bjs.joint_nonmaterial_cost,input,USD,[18600.],"Non-material joint cost (mfg, assembly, transportation)."
rotorse.rs.bjs.name_mat,input,n/a,"['Gelcoat', 'Adhesive', 'glass_uni', 'carbon_uni_industry_baseline', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'steel', 'joint_insert']",list of material names. [(n_mat) list of str]
rotorse.rs.bjs.joint_bolt,input,n/a,M36,Type of bolt used in joint
rotorse.rs.bjs.reinforcement_layer_ss,input,n/a,joint_reinf_ss,"Layer identifier for the reinforcement layer at the join where bolts are inserted, suction side"
rotorse.rs.bjs.reinforcement_layer_ps,input,n/a,joint_reinf_ps,"Layer identifier for the reinforcement layer at the join where bolts are inserted, pressure side"
rotorse.rs.bjs.layer_side,input,n/a,"['', '', 'suction', 'pressure', 'suction', 'pressure', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1D array setting whether the layer is on the suction or pressure side. This entry is only used if definition_layer is equal to 1 or 2.
rotorse.rs.brs.s_f,input,,[2.5],Safety factor
rotorse.rs.brs.d_f,input,m,[0.03],Diameter of the fastener
rotorse.rs.brs.sigma_max,input,Pa,[6.75e+08],Max stress on bolt
rotorse.rs.constr.max_strainU_spar,input,,[0.004],maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_spar,input,,[0.004],maximum strain in spar cap pressure side
rotorse.rs.constr.max_strainU_te,input,,[0.004],maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_te,input,,[0.004],maximum strain in spar cap pressure side
rotorse.rs.constr.s_opt_spar_cap_ss,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap suction side
rotorse.rs.constr.s_opt_spar_cap_ps,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap pressure side
rotorse.rs.constr.s_opt_te_ss,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge suction side
rotorse.rs.constr.s_opt_te_ps,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge pressure side
rotorse.rs.constr.blade_number,input,n/a,3,
rotorse.rs.tip_pos.dynamicFactor,input,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.tot_loads_gust.aeroloads_azimuth,input,deg,[0.],azimuthal angle
rotorse.rs.tot_loads_gust.dynamicFactor,input,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.split.joint_position,input,,[0.7],Spanwise position of the segmentation joint.
rotorse.stall_check.stall_margin,input,deg,[4.98473282],Minimum margin from the stall angle
rotorse.stall_check.min_s,input,,[0.25],Minimum nondimensional coordinate along blade span where to define the constraint (blade root typically stalls)
financese.tcc_per_kW,intermediate,USD/kW,[1418.03679377],
financese.bos_per_kW,intermediate,USD/kW,[343.35819836],
financese.turbine_aep,intermediate,kW*h,[24621828.35418958],
landbosse.blade_surface_area,intermediate,m**2,[151.0922911],
landbosse.foundation_height,intermediate,m,[0.],
landbosse.nacelle_mass,intermediate,kg,[178691.43777238],
landbosse.tower_mass,intermediate,kg,[791445.95807925],
landbosse.blade_mass,intermediate,kg,[50167.15435274],The mass of one rotor blade.
landbosse.hub_mass,intermediate,kg,[36108.08818349],Mass of the rotor hub
landbosse.hub_height_meters,intermediate,m,[140.],Hub height m
landbosse.rotor_diameter_m,intermediate,m,[205.99253562],Rotor diameter m
landbosse.rated_thrust_N,intermediate,N,[1048815.24023271],Rated Thrust (N)
landbosse.gust_velocity_m_per_s,intermediate,m/s,[52.5],50-year Gust Velocity (m/s)
outputs_2_screen.aep,intermediate,GW*h,[24.62182835],
outputs_2_screen.blade_mass,intermediate,kg,[50167.15435274],
outputs_2_screen.lcoe,intermediate,USD/MW/h,[34.5959472],
outputs_2_screen.tip_deflection,intermediate,m,[15.57158526],
tcc.main_bearing_mass,intermediate,kg,[1415.08884437],
tcc.bedplate_mass,intermediate,kg,[28022.72936555],
tcc.blade_mass,intermediate,kg,[50167.15435274],
tcc.blade_cost_external,intermediate,USD,[583238.11130328],
tcc.brake_mass,intermediate,kg,[8190.03962252],
tcc.converter_mass,intermediate,kg,[4196.35],
tcc.cover_mass,intermediate,kg,[6789.50152745],
tcc.gearbox_mass,intermediate,kg,[33565.73615786],
tcc.generator_mass,intermediate,kg,[19195.74437204],
tcc.hss_mass,intermediate,kg,[762.1855636],
tcc.hub_cost,output,USD,[32030.77358619],
tcc.hub_mass,intermediate,kg,[8213.01886825],
tcc.pitch_system_cost,output,USD,[564277.47667185],
tcc.pitch_system_mass,intermediate,kg,[25532.91749646],
tcc.spinner_cost,output,USD,[26219.88518832],
tcc.spinner_mass,intermediate,kg,[2362.15181877],
tcc.hvac_mass,intermediate,kg,[2912.15086465],
tcc.lss_mass,intermediate,kg,[4854.1340218],
tcc.lss_cost,output,USD,[57764.19485942],
tcc.main_bearing_cost,output,USD,[6367.89979965],
tcc.gearbox_cost,output,USD,[335657.36157863],
tcc.hss_cost,output,USD,[5182.86183247],
tcc.brake_cost,output,USD,[29692.16964748],
tcc.generator_cost,output,USD,[238027.23021334],
tcc.bedplate_cost,output,USD,[81265.9151601],
tcc.yaw_system_cost,output,USD,[147061.28095398],
tcc.yaw_mass,intermediate,kg,[17718.22662096],
tcc.converter_cost,output,USD,[78891.38],
tcc.hvac_cost,output,USD,[361106.70721617],
tcc.cover_cost,output,USD,[38700.15870644],
tcc.elec_cost,output,USD,[209250.],
tcc.controls_cost,output,USD,[105750.],
tcc.platforms_mass,intermediate,kg,[38169.46196722],
tcc.platforms_cost,output,USD,[652697.79963941],
tcc.transformer_cost,output,USD,[215918.],
tcc.transformer_mass,intermediate,kg,[11485.],
tcc.blade_cost,output,USD,[583238.11130328],
tcc.rotor_cost,output,USD,[2372242.46935621],
tcc.rotor_mass_tcc,output,kg,[186609.5512417],
tcc.nacelle_cost,output,USD,[2569700.85940675],
tcc.nacelle_mass_tcc,output,kg,[178691.43777238],
tcc.tower_cost,output,USD,[2148240.64007646],
tcc.tower_mass,intermediate,kg,[791445.95807925],
tcc.turbine_cost,output,USD,[7090183.96883943],
tcc.turbine_cost_kW,output,USD/kW,[1418.03679377],
tcc.turbine_mass_tcc,output,kg,[1156746.94709333],
tcc.hub_system_cost,output,USD,[622528.13544636],
tcc.hub_system_mass_tcc,output,kg,[36108.08818349],
tcc.tower_parts_cost,output,USD,[2148240.64007646],
tcc.tower_cost_external,intermediate,USD,[2148240.64007646],
tcons.rated_Omega,intermediate,rpm,[7.88077303],rotor rotation speed at rated
tcons.tower_freq,intermediate,Hz,[0.2178623],
tcons.tip_deflection,intermediate,m,[15.57158526],
tcons.Rtip,intermediate,m,[102.99626781],
